UserID,Normalized Unique Location,Count of Timestamp
25,"0.76,0.15",175
26,"0.63,0.06",1
26,"0.70,0.22",7
26,"0.72,0.18",1
26,"0.75,0.15",6
26,"0.75,0.17",2
26,"0.76,0.15",9
26,"0.77,0.16",1
27,"0.67,0.27",1
27,"0.68,0.22",2
27,"0.69,0.21",1
27,"0.70,0.20",1
27,"0.70,0.21",1
27,"0.70,0.22",153
27,"0.70,0.23",1
27,"0.71,0.20",1
27,"0.71,0.21",1
27,"0.71,0.22",1
27,"0.71,0.27",1
27,"0.72,0.22",2
27,"0.74,0.21",3
27,"0.76,0.15",4
27,"0.77,0.26",1
27,"0.78,0.29",1
28,"0.75,0.23",4
28,"0.76,0.23",2
28,"0.76,0.24",6
28,"0.77,0.20",6
28,"0.77,0.23",89
28,"0.77,0.24",4
28,"0.79,0.23",2
28,"0.80,0.23",1
28,"0.81,0.23",11
29,"0.70,0.22",45
29,"0.72,0.22",2
29,"0.74,0.22",5
29,"0.79,0.25",4
29,"0.79,0.30",23
29,"0.80,0.30",3
30,"0.70,0.22",7
30,"0.72,0.20",9
30,"0.72,0.22",1
30,"0.73,0.18",2
30,"0.73,0.20",2
30,"0.81,0.15",1
30,"0.82,0.15",3
31,"0.70,0.22",94
31,"0.79,0.25",6
32,"0.69,0.23",14
32,"0.70,0.22",332
32,"0.70,0.23",3
32,"0.72,0.22",1
34,"0.76,0.15",36
34,"0.78,0.29",30
34,"0.80,0.30",5
34,"0.81,0.30",4
35,"0.69,0.23",4
35,"0.70,0.22",23
35,"0.70,0.23",4
35,"0.71,0.22",7
35,"0.72,0.21",10
35,"0.72,0.22",955
35,"0.72,0.23",14
35,"0.73,0.16",12
35,"0.78,0.29",70
36,"0.78,0.29",2
36,"0.83,0.15",11
37,"0.77,0.25",2
39,"0.73,0.16",1
39,"0.73,0.17",1
39,"0.76,0.15",12
39,"0.76,0.16",1
39,"0.77,0.16",2
39,"0.78,0.29",2
39,"0.86,0.50",1
40,"0.76,0.15",8
40,"0.77,0.26",11
40,"0.78,0.26",2
40,"0.78,0.29",59
40,"0.79,0.29",1
40,"0.79,0.30",16
40,"0.82,0.15",3
41,"0.63,0.25",12
41,"0.69,0.27",19
41,"0.70,0.22",279
41,"0.70,0.23",4
41,"0.71,0.22",3
41,"0.72,0.22",18
41,"0.74,0.24",1
41,"0.78,0.29",1
41,"0.79,0.25",50
41,"0.79,0.30",13
42,"0.70,0.22",34
42,"0.70,0.23",2
42,"0.76,0.15",18
42,"0.77,0.20",1
42,"0.77,0.28",9
42,"0.79,0.25",2
43,"0.63,0.06",1
43,"0.73,0.16",23
43,"0.77,0.23",1
44,"0.70,0.22",20
44,"0.78,0.29",6
44,"0.80,0.28",47
47,"0.63,0.25",2
47,"0.73,0.26",1
47,"0.74,0.27",1
47,"0.74,0.28",1
47,"0.76,0.15",1
47,"0.77,0.20",2
48,"0.70,0.22",10
48,"0.73,0.26",4
48,"0.74,0.26",1
49,"0.77,0.23",30
49,"0.77,0.28",3
49,"0.78,0.23",2
50,"0.79,0.25",12
50,"0.80,0.27",2
51,"0.70,0.23",1
51,"0.73,0.16",3
51,"0.74,0.19",2
51,"0.74,0.20",1
51,"0.74,0.21",1
51,"0.74,0.22",1
51,"0.74,0.27",1
51,"0.75,0.19",1
51,"0.75,0.20",1
51,"0.75,0.23",2
51,"0.76,0.20",1
51,"0.76,0.22",1
51,"0.76,0.24",2
51,"0.77,0.23",18
51,"0.79,0.30",10
51,"0.80,0.30",1
51,"0.81,0.23",1
51,"0.81,0.24",1
51,"0.82,0.21",1
52,"0.22,0.55",2
52,"0.70,0.22",252
52,"0.70,0.23",1
52,"0.71,0.23",1
52,"0.72,0.22",11
52,"0.73,0.16",3
52,"0.76,0.15",20
52,"0.77,0.28",15
52,"0.78,0.29",9
52,"0.79,0.30",28
53,"0.73,0.16",1
53,"0.75,0.17",66
53,"0.76,0.15",1870
53,"0.77,0.16",10
53,"0.78,0.29",16
53,"0.79,0.30",87
54,"0.70,0.22",408
54,"0.71,0.22",2
54,"0.72,0.22",5
54,"0.72,0.23",2
54,"0.73,0.18",1
54,"0.75,0.17",9
54,"0.78,0.29",101
54,"0.79,0.30",25
55,"0.77,0.20",4
55,"0.78,0.20",21
56,"0.82,0.15",3
56,"0.83,0.15",3
57,"0.76,0.15",1
57,"0.80,0.27",1
57,"0.81,0.29",1
57,"0.82,0.29",7
57,"0.84,0.15",17
57,"0.85,0.15",1
58,"0.70,0.22",17
58,"0.73,0.16",3
58,"0.76,0.15",22
59,"0.74,0.27",1
59,"0.76,0.15",16
59,"0.77,0.28",58
59,"0.89,0.49",4
60,"0.74,0.22",23
60,"0.75,0.22",2
61,"0.78,0.27",8
62,"0.70,0.22",18
62,"0.73,0.16",1
62,"0.73,0.18",2
62,"0.75,0.17",1
62,"0.76,0.15",77
62,"0.76,0.16",2
62,"0.77,0.16",4
62,"0.77,0.20",1
62,"0.78,0.18",1
62,"0.78,0.29",13
62,"0.79,0.30",11
62,"0.80,0.19",3
62,"0.81,0.23",1
62,"0.83,0.15",2
63,"0.68,0.26",3
63,"0.68,0.27",2
63,"0.73,0.16",3
63,"0.73,0.18",1
63,"0.75,0.17",1
63,"0.76,0.15",150
63,"0.77,0.20",1
63,"0.87,0.51",3
63,"0.88,0.49",1
63,"0.92,0.53",8
63,"0.93,0.53",2
64,"0.77,0.23",9
65,"0.77,0.23",50
66,"0.68,0.22",5
66,"0.70,0.22",270
67,"0.70,0.22",10
67,"0.77,0.28",4
67,"0.83,0.52",2
67,"0.83,0.53",14
67,"0.84,0.52",12
67,"0.85,0.52",2
67,"0.86,0.52",6
68,"0.67,0.27",2
68,"0.69,0.27",1
68,"0.70,0.22",7
68,"0.70,0.26",1
68,"0.71,0.26",1
68,"0.72,0.25",4
68,"0.73,0.25",157
68,"0.73,0.26",1
68,"0.74,0.24",1
69,"0.69,0.27",50
70,"0.76,0.15",73
70,"0.77,0.20",2
71,"0.19,0.91",5
71,"0.22,0.92",5
71,"0.22,0.93",13
71,"0.69,0.22",2
71,"0.70,0.22",36
71,"0.70,0.23",5
71,"0.71,0.22",5
71,"0.72,0.22",47
71,"0.73,0.16",18
71,"0.73,0.17",9
71,"0.73,0.18",8
71,"0.73,0.23",3
71,"0.75,0.17",1
71,"0.75,0.22",1
71,"0.75,0.23",1
71,"0.76,0.15",4
71,"0.76,0.22",1
71,"0.76,0.23",2
71,"0.77,0.15",1
71,"0.77,0.16",6
71,"0.77,0.23",246
71,"0.77,0.28",1
71,"0.78,0.23",2
71,"0.78,0.29",38
71,"0.79,0.25",11
71,"0.80,0.25",10
72,"0.86,0.50",50
73,"0.72,0.17",24
73,"0.73,0.16",3
73,"0.73,0.26",11
73,"0.73,0.27",12
73,"0.74,0.27",4
73,"0.75,0.15",3
73,"0.75,0.25",12
73,"0.75,0.26",1
73,"0.76,0.15",214
73,"0.77,0.15",4
73,"0.77,0.23",3
73,"0.78,0.27",4
73,"0.79,0.27",1
73,"0.79,0.28",3
73,"0.80,0.28",1
74,"0.70,0.22",25
75,"0.75,0.23",1
75,"0.77,0.23",119
76,"0.74,0.90",2
76,"0.76,0.15",23
77,"0.69,0.27",1
77,"0.70,0.22",151
77,"0.72,0.17",12
77,"0.74,0.28",1
77,"0.75,0.15",1
77,"0.76,0.15",34
77,"0.78,0.29",7
77,"0.79,0.25",1
78,"0.70,0.22",10
78,"0.72,0.18",1
78,"0.73,0.16",2
78,"0.73,0.18",1
78,"0.75,0.15",1
78,"0.76,0.15",91
78,"0.78,0.29",2
78,"0.79,0.53",1
79,"0.70,0.21",1
79,"0.70,0.22",100
79,"0.73,0.16",12
79,"0.73,0.17",1
79,"0.76,0.15",8
79,"0.79,0.25",3
80,"0.70,0.22",6
81,"0.70,0.22",37
81,"0.72,0.22",7
81,"0.72,0.23",1
81,"0.73,0.16",4
81,"0.73,0.17",4
81,"0.75,0.15",4
81,"0.76,0.15",137
81,"0.76,0.22",2
81,"0.76,0.23",1
81,"0.77,0.20",1
81,"0.77,0.23",10
81,"0.78,0.29",13
81,"0.79,0.15",2
81,"0.81,0.15",1
82,"0.76,0.15",150
83,"0.22,0.55",11
83,"0.28,0.58",2
83,"0.70,0.22",129
83,"0.71,0.22",2
83,"0.77,0.28",6
84,"0.64,0.05",1
84,"0.70,0.22",4
84,"0.73,0.17",2
84,"0.75,0.15",3
84,"0.76,0.15",87
84,"0.77,0.16",1
84,"0.78,0.29",2
85,"0.19,0.91",4
85,"0.22,0.93",1
85,"0.70,0.22",35
85,"0.73,0.16",4
85,"0.73,0.26",14
85,"0.75,0.15",19
85,"0.76,0.15",435
85,"0.76,0.16",8
85,"0.77,0.16",24
85,"0.78,0.29",23
85,"0.79,0.53",14
85,"0.80,0.28",2
85,"0.81,0.28",6
85,"0.84,0.15",3
85,"0.84,0.51",5
85,"0.84,0.52",5
85,"0.85,0.52",2
85,"0.86,0.50",23
86,"0.73,0.16",9
86,"0.74,0.27",6
86,"0.74,0.28",1
86,"0.76,0.15",209
87,"0.75,0.15",60
87,"0.76,0.15",21
87,"0.77,0.24",3
87,"0.78,0.29",2
88,"0.70,0.22",156
88,"0.70,0.23",6
88,"0.72,0.17",20
88,"0.72,0.22",2
88,"0.73,0.16",10
88,"0.73,0.26",1
88,"0.74,0.24",1
88,"0.76,0.15",4
88,"0.77,0.28",7
88,"0.78,0.29",18
89,"0.70,0.22",75
89,"0.70,0.24",13
89,"0.70,0.25",1
89,"0.71,0.22",4
89,"0.71,0.25",1
89,"0.72,0.22",315
89,"0.72,0.23",41
89,"0.72,0.24",1
89,"0.73,0.25",3
89,"0.73,0.26",9
89,"0.76,0.15",10
90,"0.72,0.22",1
90,"0.73,0.26",3
90,"0.74,0.23",1
90,"0.74,0.24",2
90,"0.74,0.27",1
90,"0.74,0.28",8
90,"0.76,0.22",4
90,"0.77,0.28",4
90,"0.78,0.23",1
91,"0.63,0.20",1
91,"0.67,0.27",7
91,"0.70,0.20",2
91,"0.70,0.21",1
91,"0.70,0.22",139
91,"0.70,0.23",1
91,"0.70,0.27",1
91,"0.72,0.17",1
91,"0.72,0.22",2
91,"0.72,0.27",3
91,"0.73,0.16",53
91,"0.73,0.17",3
91,"0.73,0.18",1
91,"0.73,0.26",1
91,"0.76,0.28",3
91,"0.77,0.20",5
91,"0.77,0.28",1
91,"0.78,0.29",5
91,"0.79,0.25",3
92,"0.69,0.27",1
92,"0.70,0.22",30
92,"0.73,0.26",1
92,"0.76,0.15",77
92,"0.78,0.29",8
92,"0.80,0.53",1
92,"0.82,0.52",1
92,"0.84,0.53",4
92,"0.86,0.50",2
93,"0.45,0.38",1
93,"0.73,0.26",7
93,"0.75,0.17",5
93,"0.76,0.15",87
94,"0.22,0.30",1
94,"0.23,0.30",1
94,"0.70,0.22",4
94,"0.72,0.22",85
94,"0.75,0.23",1
94,"0.79,0.25",28
95,"0.75,0.17",1
95,"0.76,0.15",9
95,"0.77,0.16",4
95,"0.77,0.20",16
95,"0.78,0.20",20
96,"0.70,0.22",63
96,"0.74,0.27",1
96,"0.76,0.15",159
96,"0.77,0.16",2
96,"0.77,0.20",1
96,"0.77,0.29",2
96,"0.78,0.29",2
96,"0.79,0.30",17
96,"0.82,0.29",2
96,"0.83,0.30",1
97,"0.70,0.22",103
97,"0.71,0.22",1
97,"0.72,0.22",19
97,"0.76,0.15",1
97,"0.79,0.25",1
97,"0.79,0.30",25
98,"0.69,0.27",171
98,"0.70,0.22",652
98,"0.71,0.22",7
98,"0.72,0.22",120
99,"0.67,0.27",2
99,"0.76,0.15",23
99,"0.77,0.15",1
99,"0.77,0.20",1
99,"0.78,0.20",3
99,"0.85,0.49",1
99,"0.86,0.49",21
99,"0.86,0.50",13
100,"0.69,0.27",145
100,"0.86,0.49",12
100,"0.86,0.50",143
101,"0.72,0.17",1
101,"0.74,0.16",9
101,"0.75,0.15",296
101,"0.76,0.15",190
101,"0.77,0.20",74
101,"0.79,0.30",200
101,"0.80,0.30",7
102,"0.69,0.23",1
102,"0.70,0.22",42
102,"0.70,0.23",6
102,"0.72,0.22",1
103,"0.32,0.66",4
103,"0.73,0.26",1
103,"0.76,0.15",59
103,"0.84,0.50",19
103,"0.84,0.51",3
103,"0.84,0.52",117
103,"0.87,0.54",2
104,"0.66,0.65",1
104,"0.70,0.22",8
104,"0.70,0.59",2
104,"0.71,0.60",1
104,"0.72,0.17",3
104,"0.72,0.60",1
104,"0.73,0.16",44
104,"0.73,0.17",1
104,"0.73,0.18",1
104,"0.73,0.60",1
104,"0.75,0.15",2
104,"0.75,0.17",1
104,"0.75,0.60",1
104,"0.76,0.15",137
104,"0.76,0.16",1
104,"0.77,0.20",2
104,"0.78,0.20",1
104,"0.78,0.29",5
104,"0.78,0.58",3
104,"0.79,0.25",9
106,"0.70,0.22",21
106,"0.73,0.16",3
106,"0.73,0.17",2
106,"0.76,0.15",96
106,"0.78,0.29",2
106,"0.82,0.15",1
107,"0.70,0.22",38
107,"0.72,0.17",9
107,"0.72,0.22",1
107,"0.73,0.16",2
107,"0.73,0.18",1
107,"0.76,0.15",50
107,"0.76,0.24",9
107,"0.77,0.20",1
107,"0.77,0.23",418
107,"0.77,0.24",1
107,"0.77,0.25",3
108,"0.76,0.15",23
109,"0.70,0.22",85
109,"0.71,0.22",2
109,"0.78,0.29",3
109,"0.82,0.15",2
109,"0.83,0.15",2
110,"0.69,0.27",1
110,"0.77,0.23",86
111,"0.76,0.15",183
111,"0.77,0.20",82
111,"0.78,0.29",643
111,"0.79,0.29",2
111,"0.79,0.30",390
112,"0.70,0.22",638
112,"0.70,0.23",1
112,"0.71,0.23",10
113,"0.70,0.22",33
113,"0.72,0.22",1
114,"0.70,0.23",13
114,"0.72,0.22",1
114,"0.72,0.23",2
114,"0.72,0.24",6
114,"0.74,0.20",2
114,"0.75,0.17",1
114,"0.83,0.15",198
114,"0.83,0.16",2
115,"0.69,0.27",3
115,"0.70,0.22",116
115,"0.70,0.23",2
115,"0.70,0.24",8
115,"0.72,0.22",3
115,"0.77,0.28",1
115,"0.78,0.29",12
116,"0.68,0.22",2
116,"0.70,0.22",885
116,"0.71,0.22",3
116,"0.72,0.22",3
116,"0.73,0.23",2
116,"0.74,0.22",3
116,"0.74,0.28",16
116,"0.75,0.17",1
116,"0.75,0.23",14
116,"0.76,0.15",28
116,"0.77,0.16",5
119,"0.67,0.27",503
119,"0.76,0.15",178
120,"0.48,0.50",1
120,"0.83,0.49",11
120,"0.84,0.49",1
120,"0.84,0.50",18
120,"0.84,0.51",10
120,"0.85,0.51",550
120,"0.86,0.51",24
120,"0.86,0.52",1
121,"0.70,0.22",280
121,"0.72,0.22",1
121,"0.76,0.15",12
121,"0.78,0.18",1
121,"0.79,0.30",5
121,"0.82,0.15",4
121,"0.84,0.50",1
122,"0.70,0.22",5
122,"0.72,0.22",13
122,"0.72,0.23",25
122,"0.72,0.27",16
122,"0.73,0.21",5
123,"0.73,0.16",1
123,"0.76,0.15",7
123,"0.78,0.29",1
124,"0.70,0.22",50
124,"0.70,0.23",6
124,"0.72,0.17",2
124,"0.73,0.16",41
124,"0.73,0.17",4
124,"0.74,0.16",2
124,"0.74,0.89",8
124,"0.74,0.90",4
124,"0.75,0.15",5
124,"0.75,0.17",16
124,"0.76,0.15",835
124,"0.77,0.20",6
124,"0.77,0.28",51
124,"0.77,0.29",11
124,"0.78,0.15",3
124,"0.78,0.20",5
124,"0.78,0.29",31
124,"0.79,0.15",1
124,"0.79,0.29",2
124,"0.79,0.30",35
124,"0.80,0.15",1
124,"0.80,0.30",17
124,"0.81,0.15",1
124,"0.82,0.15",14
124,"0.84,0.15",14
125,"0.70,0.22",64
125,"0.70,0.24",4
125,"0.71,0.22",1
125,"0.72,0.22",489
125,"0.72,0.23",15
125,"0.72,0.27",7
125,"0.73,0.26",4
126,"0.67,0.27",2
126,"0.71,0.20",1
126,"0.73,0.16",10
126,"0.76,0.15",14
127,"0.72,0.18",1
127,"0.73,0.16",1
127,"0.73,0.18",4
127,"0.76,0.24",1
127,"0.77,0.23",237
127,"0.77,0.24",2
127,"0.77,0.28",5
127,"0.77,0.29",13
127,"0.78,0.23",4
127,"0.79,0.25",2
128,"0.69,0.26",1
128,"0.69,0.27",7
128,"0.76,0.15",166
128,"0.77,0.16",18
128,"0.78,0.29",2
128,"0.79,0.15",1
128,"0.80,0.15",1
128,"0.83,0.15",8
129,"0.76,0.15",66
130,"0.70,0.23",44
130,"0.73,0.26",3
130,"0.75,0.15",6
130,"0.76,0.15",1579
130,"0.77,0.26",15
130,"0.78,0.26",94
130,"0.78,0.27",39
130,"0.79,0.27",43
131,"0.70,0.22",697
133,"0.70,0.22",45
133,"0.70,0.23",1
133,"0.72,0.22",3
133,"0.73,0.17",19
133,"0.73,0.18",1
133,"0.73,0.26",15
133,"0.76,0.15",143
133,"0.77,0.23",14
133,"0.78,0.23",9
134,"0.73,0.24",1
134,"0.74,0.23",1
134,"0.74,0.24",23
135,"0.22,0.93",1
135,"0.70,0.22",189
135,"0.71,0.22",1
135,"0.72,0.17",3
135,"0.72,0.22",10
135,"0.73,0.17",28
135,"0.73,0.18",1
135,"0.73,0.26",9
135,"0.74,0.22",1
135,"0.75,0.23",1
135,"0.76,0.15",240
135,"0.76,0.22",1
135,"0.76,0.23",1
135,"0.77,0.16",2
135,"0.77,0.20",2
135,"0.77,0.23",224
135,"0.77,0.25",3
135,"0.78,0.23",8
136,"0.72,0.22",2
136,"0.72,0.27",35
136,"0.73,0.26",5
136,"0.74,0.22",4
136,"0.74,0.27",35
136,"0.74,0.28",31
136,"0.75,0.28",16
136,"0.76,0.28",1
136,"0.77,0.23",3
136,"0.77,0.28",6
136,"0.77,0.29",3
136,"0.78,0.29",1
136,"0.79,0.30",6
138,"0.69,0.27",47
138,"0.70,0.22",651
138,"0.70,0.25",2
138,"0.71,0.21",1
138,"0.71,0.22",2
138,"0.72,0.22",200
138,"0.73,0.20",3
138,"0.74,0.24",1
138,"0.76,0.15",46
138,"0.78,0.18",7
139,"0.74,0.27",1
139,"0.77,0.23",1
139,"0.77,0.29",20
139,"0.83,0.15",128
140,"0.70,0.22",10
140,"0.76,0.15",15
140,"0.77,0.20",200
140,"0.78,0.20",11
141,"0.70,0.22",651
141,"0.71,0.22",2
141,"0.72,0.21",1
141,"0.72,0.22",6
141,"0.73,0.21",4
141,"0.74,0.20",18
141,"0.75,0.17",11
141,"0.76,0.15",20
141,"0.77,0.28",36
141,"0.78,0.29",12
142,"0.67,0.27",7
142,"0.68,0.27",2
142,"0.70,0.23",2
142,"0.72,0.22",7
142,"0.73,0.18",5
142,"0.74,0.27",1
142,"0.76,0.23",2
142,"0.77,0.20",1
142,"0.77,0.23",166
142,"0.77,0.24",6
142,"0.77,0.26",7
142,"0.77,0.28",29
142,"0.78,0.23",3
142,"0.78,0.26",2
142,"0.78,0.29",20
142,"0.79,0.25",79
142,"0.79,0.26",2
142,"0.79,0.27",14
142,"0.80,0.26",7
143,"0.68,0.22",1
143,"0.70,0.22",475
143,"0.70,0.23",5
143,"0.72,0.17",1
143,"0.72,0.22",2
143,"0.74,0.27",2
143,"0.75,0.17",4
143,"0.76,0.15",27
143,"0.76,0.28",18
143,"0.77,0.16",3
143,"0.78,0.29",6
143,"0.79,0.26",6
144,"0.79,0.30",4
146,"0.67,0.27",3
146,"0.70,0.24",3
146,"0.70,0.25",5
146,"0.70,0.26",1
146,"0.71,0.25",2
146,"0.72,0.22",2
146,"0.73,0.26",1
146,"0.74,0.22",5
146,"0.75,0.25",1
146,"0.77,0.23",8
146,"0.77,0.24",1
146,"0.77,0.25",34
146,"0.77,0.26",4
146,"0.79,0.25",1
146,"0.79,0.26",2
147,"0.70,0.24",3
147,"0.70,0.25",3
147,"0.73,0.26",1
147,"0.77,0.23",8
147,"0.77,0.24",1
147,"0.77,0.25",16
148,"0.70,0.22",684
148,"0.72,0.17",4
148,"0.75,0.17",12
148,"0.77,0.28",8
148,"0.79,0.25",9
150,"0.76,0.24",4
150,"0.77,0.24",14
151,"0.57,0.71",2
151,"0.57,0.72",1
151,"0.70,0.22",2
151,"0.70,0.23",1
151,"0.76,0.15",2
151,"0.77,0.16",1
151,"0.78,0.29",2
151,"0.79,0.25",2
151,"0.82,0.15",15
151,"0.87,0.51",9
152,"0.86,0.50",12
152,"0.88,0.53",12
152,"0.89,0.53",6
152,"0.89,0.54",17
152,"0.90,0.54",1
152,"0.92,0.53",2
153,"0.68,0.22",1
153,"0.69,0.22",1
153,"0.70,0.22",283
154,"0.70,0.22",50
156,"0.69,0.23",6
156,"0.70,0.20",3
156,"0.70,0.22",196
156,"0.71,0.20",2
156,"0.71,0.21",1
156,"0.72,0.20",1
156,"0.73,0.16",2
156,"0.73,0.20",2
156,"0.74,0.16",2
156,"0.74,0.17",1
156,"0.74,0.18",4
156,"0.74,0.20",3
156,"0.75,0.17",9
156,"0.75,0.18",1
156,"0.76,0.15",38
156,"0.79,0.25",1
156,"0.79,0.30",3
157,"0.70,0.22",5
157,"0.72,0.22",1
157,"0.73,0.16",2
157,"0.75,0.17",1
157,"0.76,0.15",60
157,"0.83,0.15",1
157,"0.84,0.50",1
158,"0.68,0.26",4
158,"0.68,0.27",6
158,"0.73,0.16",39
158,"0.73,0.26",35
158,"0.74,0.16",14
158,"0.75,0.15",33
158,"0.75,0.16",2
158,"0.76,0.15",1093
158,"0.78,0.29",55
158,"0.79,0.25",81
158,"0.81,0.23",63
159,"0.76,0.15",49
159,"0.79,0.30",1
160,"0.76,0.15",15
160,"0.78,0.29",15
160,"0.79,0.25",218
160,"0.79,0.26",2
160,"0.83,0.15",12
161,"0.70,0.22",2
161,"0.73,0.16",3
161,"0.76,0.15",35
161,"0.77,0.20",1
161,"0.79,0.25",2
161,"0.82,0.15",2
161,"0.83,0.15",2
162,"0.69,0.23",155
162,"0.70,0.22",8
162,"0.70,0.23",21
162,"0.72,0.22",5
162,"0.72,0.23",3
162,"0.73,0.18",12
162,"0.81,0.21",1
163,"0.70,0.22",326
163,"0.70,0.23",1
163,"0.72,0.17",2
163,"0.72,0.22",1
163,"0.73,0.18",1
163,"0.76,0.15",6
164,"0.83,0.53",12
164,"0.84,0.52",7
164,"0.84,0.53",96
164,"0.85,0.52",65
164,"0.85,0.53",1208
164,"0.86,0.52",21
164,"0.86,0.53",50
164,"0.86,0.54",4
164,"0.87,0.53",4
164,"0.88,0.53",3
166,"0.70,0.22",46
166,"0.70,0.23",1
166,"0.72,0.17",2
166,"0.75,0.17",1
166,"0.77,0.28",3
166,"0.78,0.18",1
167,"0.71,0.47",1
167,"0.71,0.48",1
167,"0.73,0.48",6
167,"0.74,0.48",1
167,"0.79,0.50",3
167,"0.79,0.51",2
167,"0.80,0.51",1
167,"0.86,0.49",1
167,"0.86,0.50",241
167,"0.87,0.49",1
167,"0.89,0.49",2
167,"0.91,0.49",2
169,"0.73,0.16",10
169,"0.73,0.17",115
170,"0.70,0.22",40
170,"0.70,0.23",6
170,"0.70,0.24",1
170,"0.71,0.24",19
170,"0.72,0.17",18
170,"0.72,0.24",17
170,"0.73,0.16",136
170,"0.73,0.17",881
170,"0.73,0.18",2
170,"0.74,0.16",1
170,"0.75,0.16",3
170,"0.76,0.15",129
170,"0.76,0.16",1
170,"0.77,0.16",23
171,"0.70,0.22",49
171,"0.71,0.22",1
172,"0.70,0.22",294
172,"0.70,0.23",8
172,"0.70,0.24",16
172,"0.73,0.26",2
172,"0.76,0.15",2
172,"0.77,0.28",13
172,"0.84,0.51",2
172,"0.87,0.54",36
174,"0.63,0.05",511
174,"0.64,0.05",22
174,"0.67,0.27",1
174,"0.68,0.27",1
174,"0.69,0.27",29
174,"0.70,0.27",4
174,"0.73,0.16",9
174,"0.76,0.15",38
174,"0.77,0.28",10
174,"0.78,0.18",2
174,"0.80,0.51",3
174,"0.82,0.15",15
174,"0.83,0.15",4
174,"0.84,0.51",1
175,"0.57,0.72",1
175,"0.57,0.73",14
175,"0.71,0.84",5
175,"0.73,0.88",1
175,"0.74,0.88",3
175,"0.74,0.89",21
175,"0.78,0.29",31
175,"0.78,0.83",3
175,"0.84,0.53",2
175,"0.86,0.50",97
175,"0.86,0.51",17
175,"0.87,0.54",8
175,"0.89,0.53",7
175,"0.89,0.54",8
175,"0.90,0.54",23
175,"0.91,0.54",3
175,"0.92,0.53",1
175,"0.92,0.54",3
175,"0.92,0.55",1099
175,"0.93,0.55",5
175,"0.93,0.56",2
175,"0.94,0.55",3
175,"0.95,0.54",3
176,"0.48,0.50",5
176,"0.72,0.17",101
176,"0.73,0.17",1
176,"0.76,0.15",540
176,"0.77,0.20",1
176,"0.77,0.24",1
176,"0.78,0.20",1
177,"0.72,0.17",88
